,class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
0,pos,453236,na,2926,na,0,0,0,0,222,323436,2999280,20657518,12530224,913700,12670,0,18489312,19038,0,na,117902,203782,32633282,28658284,5348896,3667892,0,0,0,0,24514,1858,2273870,2608460,1424956,1607946,1409344,2051868,2227058,8113476,15720072,0,28828,33264,47402,627172,26128758,10570790,804,22,8,2,12630142,9040546,7110184,4970218,2616558,886208,160242,22100,842,10,38100406,632,1686,2018,684,18489312,447850,2507262,2827898,366980,314860,176220,232680,162300,189300,187600,189400,190440,453236.92,38100374,38100374,37843756,189372,8436120,na,565520,37437050,1209600,0,na,na,na,33480473.28,0.0,3935856.96,na,na,0,24598,523608,11350372,19808010,5225236,439104,59042,6950,130,na,42,38100374,na,16738,3392,1441482,1867216,1513156,21289878,11184234,120904,50,0,na,na,na,na,na,na,na,na,na,18132,2442,0,0,0,0,0,0,0,0,260830,169964,26740,73289586,16623244,1056682,155406,93686740,28423762,7966,382610,0,0,432739640,na,na,4079752,13176956,7908038,3026002,5025350,2025766,1160638,533834,493800,6914,0,0
1,pos,695994,na,na,na,na,na,0,0,0,55620,1190014,2406704,2654968,190640,6104,0,30746644,154572,402,na,248428,488246,64433246,53994294,20596998,10304200,na,0,185644,0,na,na,1769754,740312,476838,174168,133332,131930,181448,2539358,356910,0,7328,4408,7264,121698,5067472,1281252,14628,0,0,0,3262426,1210306,559028,414950,388106,362616,232360,73554,704,0,85291506,na,na,na,na,30746644,1026298,8748078,11823802,319980,347260,326760,342440,289980,277580,288080,265480,104560,695993.19,na,na,6608430,31203,na,na,456420,6504050,1209600,na,na,na,na,69538630.08,0.0,13983552.0,18944,na,0,0,74516,1113542,3627196,1523946,138200,23354,3282,14,na,na,na,na,6230,26952,809876,482260,2464090,2637700,76932,10,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.1,0,1073478,3141688,1397742,495544,361646,28610,5130,212,0,0,na,na
2,pos,1086734,na,na,na,0,0,0,0,0,0,30852,6514980,60480536,11500936,150142,48,30292908,150728,122,na,0,0,56559980,42526318,24635450,12821428,0,0,0,0,0,0,0,0,0,0,0,9836,195734,24314768,54160294,0,145308,138502,146152,139038,23191556,54215478,704588,8,2,0,28645872,13510036,6015268,4470444,4165454,6946892,11099530,3726698,99988,538,81200538,808,1778,2608,3250,30292908,1425526,11792288,12784598,390680,404820,403480,358260,373200,380560,352620,329860,11840,1086733.01,81200538,81200538,80212834,573445,3052318,na,42860,78681216,1209600,0,na,na,na,67056136.32,0.0,11561998.08,0,0,0,0,0,776778,33511648,38907668,5050048,385386,48232,960,na,0,81200538,na,50478,11412,2839770,6988174,28318670,39379702,1089922,2592,0,0,na,na,na,na,na,na,na,na,na,30426,2228,na,na,na,na,na,na,na,na,862028,1167566,285656,0,0,2583386,426868,46558460,16652020,0,0,0,0,na,22764.6,24858,11866174,17692108,10418606,5879290,12787218,11547080,5935580,1598690,932418,22944,0,0
3,pos,896410,na,na,464,0,0,0,0,0,1062,58674,1823578,5273320,2683088,104930,6366,35259548,10314,0,na,16560,32516,52298044,44330930,9272536,6742362,0,0,25982,0,20142,2424,0,0,0,0,0,354854,1797082,6492188,1306890,0,23574,8186,9926,16496,1215938,8676894,0,0,0,0,1313928,2297656,795418,890228,918026,899828,1190320,1445756,198332,1522,61596716,304,704,1264,358,35259548,922254,3430188,5773538,240440,216440,215920,180320,160740,173860,154720,174620,184760,896409.34,61596716,61596716,10005498,81325,19898,na,983740,9951030,1209600,1819184,1950,954,0,54684053.76,0.0,5204915.52,0,0,0,0,5022,345220,2296024,5005900,2144628,127954,23448,2818,3108,12518,61596716,na,9732,2788,270534,1280386,5863782,2172184,351268,340,0,0,450,3678,7153184,0,0,41728,0,0,8294560,37704,920,na,na,na,na,na,na,na,na,604088,531914,150006,13253600,135064,1852836,317422,1763960,26549348,34440594,51632,0,0,na,6276.44,4578,876968,2181864,1854974,818192,1365076,949514,802750,516852,581096,3730,0,0
4,pos,515386,0,na,na,na,na,16186,530916,2260600,5492920,8393696,10461300,3806918,885154,181168,21030,14818484,42680,862,na,4262312,6402880,29630020,30369590,6808180,2827518,na,0,756,0,na,na,0,0,0,0,0,0,302504,10469990,21222262,55132,262236,111490,146826,277762,17791796,4470306,8615778,373694,0,0,14637038,4119506,3121528,2357204,1684858,1261934,928250,756098,388082,2795390,40701940,na,na,na,na,14818484,352074,1564820,5227898,183800,157100,245760,228940,302720,290320,326860,229360,222340,515386.0,40701940,40701940,40523238,215471,na,na,748000,40074280,1209600,na,na,na,na,25118376.96,0.0,14950951.68,3224,5170,1803010,2561900,3544376,3400312,5132672,4640008,3736566,3339460,2836172,1055412,na,na,40701940,0,15458,1712,2988378,4617124,3104428,18963262,2277568,81008,948,2,876,9382,10530290,4525120,478,7318,0,0,10671632,na,na,na,na,na,na,na,na,na,na,247250,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4238,11950964,2061054,1407904,807672,1938102,2323784,8443988,3044048,72326,46,na,na
5,pos,788878,na,na,na,na,na,0,0,0,3990,950718,17967680,27934698,4978328,120814,84,19493364,21108,15488,na,18580,38408,39559674,32019682,13533738,7362074,na,0,0,0,na,na,0,0,0,0,0,357450,22311638,15209352,14077872,0,32884,24494,35814,2429784,40285386,9147896,52,2,0,0,16004204,11948120,3612912,2807138,2396308,2609010,4385116,6948720,1209518,35266,53116064,na,na,na,na,19493364,721384,6658214,6831294,422340,383800,415560,357780,431000,417400,489340,452240,431780,788878.0,53116064,53116064,53155628,379873,na,na,1019900,51956312,1209600,na,na,na,na,44921192.64,0.0,7012589.76,na,na,0,0,93476,4886296,23739634,19828964,3051488,299534,54250,2670,na,na,53116064,na,35882,8664,1896720,3410762,7112524,35394790,4000822,96134,14,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,406012,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7355176,9874762,6023836,3388662,6534054,5383914,5730380,3786252,3815898,63378,na,na
6,pos,406884,na,na,na,na,na,0,0,0,0,217260,9517738,32609278,15650362,1822266,60604,22733630,463828,8964,na,0,0,38851688,27604642,24011304,10720650,na,0,15136,0,na,na,0,0,0,0,0,0,67066,59800272,10170,0,841220,161452,133628,14364620,41835166,2541402,18,2,0,0,21815436,17441256,5760322,3697442,2724986,2333788,2312556,3045784,730082,15856,62878490,na,na,na,na,22733630,1245370,9820174,14127348,734240,710200,623840,605680,545660,491460,506700,677820,453120,406883.85,62878490,62878490,62522010,253165,na,na,1021580,59877508,1209600,na,na,na,na,46190875.2,0.0,13616364.48,na,na,0,0,1312,1293672,15976824,29645760,11245290,1521024,186590,7036,na,na,62878490,na,87728,34516,7379446,10567652,23678180,17614254,507202,8530,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,767376,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13906666,33854976,6574514,2920250,2344686,225474,35754,10032,5086,70,na,na
7,pos,349796,na,na,na,0,0,0,12010,628830,3003296,5653396,7365634,2982418,258970,26026,344,9274180,0,0,na,1223994,1905392,15021560,13706642,4504136,2008100,na,0,490,0,12756,4378,0,0,0,0,0,0,0,2618740,17254120,58064,70520,52328,126324,551796,17731616,1398340,0,0,0,0,3607648,5977724,3587898,2291206,1309690,845298,709964,885520,526922,189054,20752604,na,na,614,0,9274180,263584,1376546,3116002,315780,289880,317300,230980,285220,313800,326200,310980,39600,349795.86,20752604,20752604,na,145851,na,na,155280,na,1209600,404106,na,na,na,16956816.96,0.0,2956294.08,na,na,49476,1016282,3652862,6459638,5854434,2587572,268238,36218,6066,138,na,na,20752604,na,16920,3110,1279902,1096092,2488914,14955880,90106,0,0,0,1180,25232,7521348,1182658,0,15566,0,0,7632286,17658,na,na,na,na,na,na,na,na,na,170700,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3066836,2157196,1045104,497824,1122132,2005158,2888414,6622354,513554,12352,na,na
8,pos,315716,na,na,na,na,na,0,0,0,0,173108,10467020,25261166,16549950,2913822,155440,20776000,453870,52,na,54,172,32078210,19062314,24703432,12705078,na,0,74674,0,na,na,0,0,0,0,0,9624,14257964,41217826,35092,0,69306,42812,576806,19287848,29293392,6250170,122,24,4,22,25170868,10227180,3405808,2611084,2328592,2373130,2610670,3575362,2789628,428184,56791866,na,na,na,na,20776000,1143084,7648298,16982792,814080,663780,576360,518600,529440,571060,487900,479780,654340,315715.03,56791866,56791866,59327506,284507,na,na,1015500,55520506,1209600,na,na,na,na,37035651.84,0.0,18435792.96,na,na,0,0,0,355622,8901234,25789412,17625680,2630568,208874,9116,na,na,56791866,na,65744,17750,9112280,11387780,23788182,10802130,344856,1784,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,877710,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,18796876,25585280,8363590,1054300,1263526,337980,66860,35944,16148,2,na,na
9,pos,121166,na,10044,na,0,0,0,0,0,28064,3447262,6838768,5501646,402770,7926,0,7387296,169982,0,0,232548,580478,11696386,8050060,5833822,3257318,0,0,0,0,207284,18738,3108720,1531114,753414,913586,809372,926094,1522160,2257586,4404390,0,39776,31318,52540,1429386,8487728,6182760,2928,0,0,0,9664998,2780076,1507932,955002,578738,371202,248282,105606,13510,1090,17768638,780,800,1112,930,7387296,343312,2780954,3032424,407660,442940,476600,407140,398500,367200,396680,405900,275240,121166.38,17768638,17768638,17392746,59442,513870,39574,780160,16226436,1209600,0,na,na,na,13356534.72,0,2840713.92,na,na,0,0,411262,3165684,7524036,4487082,549446,73474,15030,422,na,1814,17768638,na,25070,5844,1409830,1307188,3329544,8718190,1411540,19230,0,0,na,na,na,na,na,na,na,na,na,20252,558,0,0,0,0,0,0,0,0,253422,10590,3052,45305816,7018666,542810,109054,54461360,6548958,5971396,269798,0,0,70369220,na,na,2976076,8914848,2773662,535560,753566,224744,33244,9670,5052,14,0,0
